"x"	"y"	"data"
"1"	10	8.04	"a1"
"2"	8	6.95	"a1"
"3"	13	7.58	"a1"
"4"	9	8.81	"a1"
"5"	11	8.33	"a1"
"6"	14	9.96	"a1"
"7"	6	7.24	"a1"
"8"	4	4.26	"a1"
"9"	12	10.84	"a1"
"10"	7	4.82	"a1"
"11"	5	5.68	"a1"
"12"	10	9.14	"a2"
"21"	8	8.14	"a2"
"31"	13	8.74	"a2"
"41"	9	8.77	"a2"
"51"	11	9.26	"a2"
"61"	14	8.1	"a2"
"71"	6	6.13	"a2"
"81"	4	3.1	"a2"
"91"	12	9.13	"a2"
"101"	7	7.26	"a2"
"111"	5	4.74	"a2"
"13"	10	7.46	"a3"
"22"	8	6.77	"a3"
"32"	13	12.74	"a3"
"42"	9	7.11	"a3"
"52"	11	7.81	"a3"
"62"	14	8.84	"a3"
"72"	6	6.08	"a3"
"82"	4	5.39	"a3"
"92"	12	8.15	"a3"
"102"	7	6.42	"a3"
"112"	5	5.73	"a3"
"14"	8	6.58	"a4"
"23"	8	5.76	"a4"
"33"	8	7.71	"a4"
"43"	8	8.84	"a4"
"53"	8	8.47	"a4"
"63"	8	7.04	"a4"
"73"	8	5.25	"a4"
"83"	19	12.5	"a4"
"93"	8	5.56	"a4"
"103"	8	7.91	"a4"
"113"	8	6.89	"a4"
